Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Element Type","Temperature Range","Length - Lead Wire","Conductor Type","Terminal Type"
http://sensing.honeywell.com/009036-1-en.pdf,//media.digikey.com/Photos/Honeywell%20Photos/ES110-0017.jpg,480-6672-ND,ES110-0017,Honeywell Sensing and Productivity Solutions,TEMP PROBE AIR/GAS NTC,70,0,"14.57000","0","1","-","ES120","Obsolete","Thermistor","-40 ~ 150°C","-","-","Connector"
https://radiobridge.com/documents/Wireless%20External%20Probe%20Temperature%20Sensor%20Product%20Brief.pdf,//media.digikey.com/photos/Radio-Bridge-Inc/RBS101-TEMP-EXT-RCZ2.jpg,2027-1003-ND,RBS101-TEMP-EXT-RCZ2,Radio Bridge Inc.,SIGFOX THERMISTOR TEMP SENSOR,95,0,"59.00000","0","1","-","-","Active","-","-30°C ~ 70°C","-","-","-"
-,-,Z7651-ND,E52-CA24AY D=4.8 2M,Omron Automation and Safety,THERMOCOUPLE K,2,0,"181.44000","0","1","-","E52","Active","K - Type","0 ~ 900°C","6.562' (2m)","Non-Grounded","Exposed Lead Wires"
http://www.ia.omron.com/data_pdf/cat/e52_ds_e_21_5_csm227.pdf,//media.digikey.com/Photos/Omron%20Auto/E52-Series-3COND-SYST.jpg,Z7654-ND,E52-P20C-N D=8,Omron Automation and Safety,RTD L=20 THERMO WELL,2,0,"257.04000","0","1","-","E52","Active","Pt100","0 ~ 400°C","-","3 Conductor System","Enclosed Terminals"
http://www.ia.omron.com/data_pdf/cat/e52_ds_e_21_5_csm227.pdf,//media.digikey.com/Photos/Omron%20Auto/E52-Series-3COND-SYST.jpg,Z7657-ND,E52-P75C-N D=10,Omron Automation and Safety,RTD L=75CM THERMO WELL,2,0,"372.96000","0","1","-","E52","Active","Pt100","-200°C ~ 450°C","-","3 Conductor System","Enclosed Terminals"
http://www.ia.omron.com/data_pdf/cat/e52_ds_e_21_5_csm227.pdf,//media.digikey.com/Photos/Omron%20Auto/E52-Series-3COND-SYST.jpg,Z7656-ND,E52-P50C-N D=4.8,Omron Automation and Safety,RTD L=50CM THERMO WELL,2,0,"712.53000","0","1","-","E52","Active","Pt100","-200°C ~ 450°C","-","3 Conductor System","Enclosed Terminals"
https://www.comet-america.com/pdf/GD260-1/0,-,2283-GD260-1/0-ND,GD260-1/0,"Comet America, LP",GD260 THERMOCOUPLE ""K"" WIRE,20,0,"22.00000","0","1","-","*","Active","-","-","-","-","-"
https://www.comet-america.com/pdf/GD700-1/0,-,2283-GD700-1/0-ND,GD700-1/0,"Comet America, LP",GD700 THERMOCOUPLE ""K"" WIRE,20,0,"22.00000","0","1","-","*","Active","-","-","-","-","-"
https://www.comet-america.com/pdf/GD260-1,-,2283-GD260-1-ND,GD260-1,"Comet America, LP",GD260 THERMOCOUPLE ""K"" WIRE,20,0,"25.00000","0","1","-","*","Active","-","-","-","-","-"
https://www.comet-america.com/pdf/GD700-1,-,2283-GD700-1-ND,GD700-1,"Comet America, LP",GD700 THERMOCOUPLE ""K"" WIRE,20,0,"25.00000","0","1","-","*","Active","-","-","-","-","-"
